,time,n,max_iter,library,version,np_version
61,6.57099999989974e-06,1000,100,torch,1.4.0,1.19.0
62,1.2489999998699375e-06,1000,100,torch,1.4.0,1.19.0
63,8.980000001379551e-07,1000,100,torch,1.4.0,1.19.0
64,8.940000000290382e-07,1000,100,torch,1.4.0,1.19.0
65,8.659999999327539e-07,1000,100,torch,1.4.0,1.19.0
66,8.369999999757738e-07,1000,100,torch,1.4.0,1.19.0
67,9.360000001734647e-07,1000,100,torch,1.4.0,1.19.0
68,2.1129999998592552e-06,1000,100,torch,1.4.0,1.19.0
69,9.260000000121948e-07,1000,100,torch,1.4.0,1.19.0
70,8.440000001108672e-07,1000,100,torch,1.4.0,1.19.0
71,1.0110000001617436e-06,1000,100,torch,1.4.0,1.19.0
72,1.0480000001145129e-06,1000,100,torch,1.4.0,1.19.0
73,9.180000000164057e-07,1000,100,torch,1.4.0,1.19.0
74,8.870000001159895e-07,1000,100,torch,1.4.0,1.19.0
75,1.0580000000537382e-06,1000,100,torch,1.4.0,1.19.0
76,1.0479999998924683e-06,1000,100,torch,1.4.0,1.19.0
77,1.0240000001271454e-06,1000,100,torch,1.4.0,1.19.0
78,9.530000000257388e-07,1000,100,torch,1.4.0,1.19.0
79,9.280000001776756e-07,1000,100,torch,1.4.0,1.19.0
80,9.080000000771804e-07,1000,100,torch,1.4.0,1.19.0
81,8.639999999893178e-07,1000,100,torch,1.4.0,1.19.0
82,9.210000000425822e-07,1000,100,torch,1.4.0,1.19.0
83,9.139999999074888e-07,1000,100,torch,1.4.0,1.19.0
84,9.029999998855232e-07,1000,100,torch,1.4.0,1.19.0
85,1.0340000000663707e-06,1000,100,torch,1.4.0,1.19.0
86,9.560000000519153e-07,1000,100,torch,1.4.0,1.19.0
87,9.620000001042683e-07,1000,100,torch,1.4.0,1.19.0
88,9.680000001566214e-07,1000,100,torch,1.4.0,1.19.0
89,1.0349999999270665e-06,1000,100,torch,1.4.0,1.19.0
90,9.67000000073881e-07,1000,100,torch,1.4.0,1.19.0
91,1.0790000000149291e-06,1000,100,torch,1.4.0,1.19.0
92,1.0749999999060122e-06,1000,100,torch,1.4.0,1.19.0
93,1.0990000001154243e-06,1000,100,torch,1.4.0,1.19.0
94,9.13000000046793e-07,1000,100,torch,1.4.0,1.19.0
95,8.460000000543033e-07,1000,100,torch,1.4.0,1.19.0
96,9.539999998864346e-07,1000,100,torch,1.4.0,1.19.0
97,1.0569999999709978e-06,1000,100,torch,1.4.0,1.19.0
98,9.89999999978508e-07,1000,100,torch,1.4.0,1.19.0
99,1.0370000000925472e-06,1000,100,torch,1.4.0,1.19.0
100,4.627000000034798e-06,2782,100,torch,1.4.0,1.19.0
101,1.5320000001928236e-06,2782,100,torch,1.4.0,1.19.0
102,1.2360000001265803e-06,2782,100,torch,1.4.0,1.19.0
103,1.2449999999830652e-06,2782,100,torch,1.4.0,1.19.0
104,1.2209999999956977e-06,2782,100,torch,1.4.0,1.19.0
105,1.2010000001172472e-06,2782,100,torch,1.4.0,1.19.0
106,1.208000000030296e-06,2782,100,torch,1.4.0,1.19.0
