,library,max_iter,n,time
79,tensorflow,100,1000,0.00015592575073242188
80,tensorflow,100,1000,0.0001342296600341797
81,tensorflow,100,1000,0.00013399124145507812
82,tensorflow,100,1000,0.00013399124145507812
83,tensorflow,100,1000,0.0001552104949951172
84,tensorflow,100,1000,0.00013589859008789062
85,tensorflow,100,1000,0.00013589859008789062
86,tensorflow,100,1000,0.0002219676971435547
87,tensorflow,100,1000,0.00023698806762695312
88,tensorflow,100,1000,0.0002601146697998047
89,tensorflow,100,1000,0.0002510547637939453
90,tensorflow,100,1000,0.00026416778564453125
91,tensorflow,100,1000,0.0007610321044921875
92,tensorflow,100,1000,0.0023589134216308594
93,tensorflow,100,1000,0.0006787776947021484
94,tensorflow,100,1000,0.00033593177795410156
95,tensorflow,100,1000,0.00023984909057617188
96,tensorflow,100,1000,0.00021600723266601562
97,tensorflow,100,1000,0.00019478797912597656
98,tensorflow,100,1000,0.00017881393432617188
99,tensorflow,100,1000,0.0001819133758544922
100,tensorflow,100,2782,0.0004711151123046875
101,tensorflow,100,2782,0.00029277801513671875
102,tensorflow,100,2782,0.00025391578674316406
103,tensorflow,100,2782,0.0002529621124267578
104,tensorflow,100,2782,0.00029087066650390625
105,tensorflow,100,2782,0.0005791187286376953
106,tensorflow,100,2782,0.0020248889923095703
107,tensorflow,100,2782,0.0008330345153808594
108,tensorflow,100,2782,0.00040411949157714844
109,tensorflow,100,2782,0.00027489662170410156
110,tensorflow,100,2782,0.00024509429931640625
111,tensorflow,100,2782,0.000247955322265625
112,tensorflow,100,2782,0.00018596649169921875
113,tensorflow,100,2782,0.00021886825561523438
114,tensorflow,100,2782,0.0003821849822998047
115,tensorflow,100,2782,0.0004210472106933594
116,tensorflow,100,2782,0.0018067359924316406
117,tensorflow,100,2782,0.0014209747314453125
118,tensorflow,100,2782,0.0006747245788574219
119,tensorflow,100,2782,0.0006382465362548828
120,tensorflow,100,2782,0.0009012222290039062
121,tensorflow,100,2782,0.001009225845336914
122,tensorflow,100,2782,0.0012218952178955078
123,tensorflow,100,2782,0.001840829849243164
124,tensorflow,100,2782,0.0004398822784423828
125,tensorflow,100,2782,0.0013511180877685547
126,tensorflow,100,2782,0.0008587837219238281
127,tensorflow,100,2782,0.0012500286102294922
128,tensorflow,100,2782,0.0006310939788818359
129,tensorflow,100,2782,0.0004010200500488281
130,tensorflow,100,2782,0.00034499168395996094
131,tensorflow,100,2782,0.000308990478515625
132,tensorflow,100,2782,0.00024127960205078125
133,tensorflow,100,2782,0.0004811286926269531
134,tensorflow,100,2782,0.0006248950958251953
135,tensorflow,100,2782,0.00032591819763183594
136,tensorflow,100,2782,0.0008480548858642578
137,tensorflow,100,2782,0.0019767284393310547
138,tensorflow,100,2782,0.0008738040924072266
139,tensorflow,100,2782,0.0005338191986083984
140,tensorflow,100,2782,0.00047707557678222656
141,tensorflow,100,2782,0.0004420280456542969
142,tensorflow,100,2782,0.00044608116149902344
143,tensorflow,100,2782,0.0006499290466308594
144,tensorflow,100,2782,0.0006449222564697266
145,tensorflow,100,2782,0.0007479190826416016
146,tensorflow,100,2782,0.0007328987121582031
147,tensorflow,100,2782,0.00038933753967285156
148,tensorflow,100,2782,0.0002541542053222656
149,tensorflow,100,2782,0.00027298927307128906
150,tensorflow,100,2782,0.0003361701965332031
151,tensorflow,100,2782,0.0002567768096923828
152,tensorflow,100,2782,0.0002219676971435547
153,tensorflow,100,2782,0.0005118846893310547
154,tensorflow,100,2782,0.0005319118499755859
155,tensorflow,100,2782,0.0007069110870361328
156,tensorflow,100,2782,0.0005669593811035156
157,tensorflow,100,2782,0.0005252361297607422
158,tensorflow,100,2782,0.0004451274871826172
159,tensorflow,100,2782,0.00047779083251953125
160,tensorflow,100,2782,0.0005931854248046875
161,tensorflow,100,2782,0.0004520416259765625
162,tensorflow,100,2782,0.0004360675811767578
163,tensorflow,100,2782,0.0004868507385253906
164,tensorflow,100,2782,0.00027298927307128906
165,tensorflow,100,2782,0.0002741813659667969
166,tensorflow,100,2782,0.00023102760314941406
167,tensorflow,100,2782,0.0002200603485107422
168,tensorflow,100,2782,0.00023698806762695312
169,tensorflow,100,2782,0.0007369518280029297
170,tensorflow,100,2782,0.0003371238708496094
171,tensorflow,100,2782,0.00033593177795410156
172,tensorflow,100,2782,0.00035381317138671875
173,tensorflow,100,2782,0.0003478527069091797
174,tensorflow,100,2782,0.0003330707550048828
175,tensorflow,100,2782,0.0003941059112548828
176,tensorflow,100,2782,0.0005838871002197266
177,tensorflow,100,2782,0.00043511390686035156
178,tensorflow,100,2782,0.0004940032958984375
