,library,max_iter,n,time
250,tensorflow-eager,100,7742,1.1920928955078125e-05
251,tensorflow-eager,100,7742,1.0967254638671875e-05
252,tensorflow-eager,100,7742,1.0967254638671875e-05
253,tensorflow-eager,100,7742,1.0967254638671875e-05
254,tensorflow-eager,100,7742,1.0967254638671875e-05
255,tensorflow-eager,100,7742,1.0967254638671875e-05
256,tensorflow-eager,100,7742,1.0967254638671875e-05
257,tensorflow-eager,100,7742,1.1682510375976562e-05
258,tensorflow-eager,100,7742,1.0967254638671875e-05
259,tensorflow-eager,100,7742,1.0967254638671875e-05
260,tensorflow-eager,100,7742,1.0967254638671875e-05
261,tensorflow-eager,100,7742,1.0967254638671875e-05
262,tensorflow-eager,100,7742,1.0967254638671875e-05
263,tensorflow-eager,100,7742,1.0967254638671875e-05
264,tensorflow-eager,100,7742,1.0967254638671875e-05
265,tensorflow-eager,100,7742,1.1205673217773438e-05
266,tensorflow-eager,100,7742,1.0967254638671875e-05
267,tensorflow-eager,100,7742,1.1205673217773438e-05
268,tensorflow-eager,100,7742,1.0967254638671875e-05
269,tensorflow-eager,100,7742,1.1205673217773438e-05
270,tensorflow-eager,100,7742,1.6927719116210938e-05
271,tensorflow-eager,100,7742,1.3113021850585938e-05
272,tensorflow-eager,100,7742,1.0967254638671875e-05
273,tensorflow-eager,100,7742,1.0967254638671875e-05
274,tensorflow-eager,100,7742,1.1205673217773438e-05
275,tensorflow-eager,100,7742,1.0967254638671875e-05
276,tensorflow-eager,100,7742,1.1205673217773438e-05
277,tensorflow-eager,100,7742,1.0967254638671875e-05
278,tensorflow-eager,100,7742,1.0967254638671875e-05
279,tensorflow-eager,100,7742,1.0967254638671875e-05
280,tensorflow-eager,100,7742,1.0013580322265625e-05
281,tensorflow-eager,100,7742,1.1205673217773438e-05
282,tensorflow-eager,100,7742,1.0967254638671875e-05
283,tensorflow-eager,100,7742,1.0967254638671875e-05
284,tensorflow-eager,100,7742,1.0967254638671875e-05
285,tensorflow-eager,100,7742,1.0967254638671875e-05
286,tensorflow-eager,100,7742,1.0967254638671875e-05
287,tensorflow-eager,100,7742,1.0967254638671875e-05
288,tensorflow-eager,100,7742,1.0967254638671875e-05
289,tensorflow-eager,100,7742,1.4066696166992188e-05
290,tensorflow-eager,100,7742,1.1205673217773438e-05
291,tensorflow-eager,100,7742,1.0967254638671875e-05
292,tensorflow-eager,100,7742,1.0967254638671875e-05
293,tensorflow-eager,100,7742,1.0967254638671875e-05
294,tensorflow-eager,100,7742,1.621246337890625e-05
295,tensorflow-eager,100,7742,1.3113021850585938e-05
296,tensorflow-eager,100,7742,1.2636184692382812e-05
297,tensorflow-eager,100,7742,1.1920928955078125e-05
298,tensorflow-eager,100,7742,1.1205673217773438e-05
299,tensorflow-eager,100,7742,1.0967254638671875e-05
300,tensorflow-eager,100,21544,8.392333984375e-05
301,tensorflow-eager,100,21544,1.8358230590820312e-05
302,tensorflow-eager,100,21544,1.7881393432617188e-05
303,tensorflow-eager,100,21544,1.6689300537109375e-05
